year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Cancer_Bryst,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.537191615655723
-2,Cancer_Bryst,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Aktiv,Psykiatrien_Indlæggelse,1,0.0252100840336134
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,0,1.40465066322969
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,11.1395894428152
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_KOL,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_KOL,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,1.70907048581859
-2,Andre Lidelser_KOL,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.714022140221402
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Indlæggelse,1,1.33170493404983
