year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Diabetes II_Med Komplikationer,50-65 år,Kvinde,Faglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Aktiv,Somatikken_Ambulant,1,0.00396402792568927
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Aktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.0085409083339281
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Psykiske Lidelser_Moderat,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,1,0
-2,Psykiske Lidelser_Moderat,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Psykiske Lidelser_Moderat,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Psykiske Lidelser_Svær,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Psykiske Lidelser_Svær,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Psykiske Lidelser_Svær,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Psykiske Lidelser_Mild,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.000538213132400431
-2,Psykiske Lidelser_Mild,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Psykiske Lidelser_Mild,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Diabetes I_Uden Komplikationer,18-49 år,Kvinde,Ufaglært,Aktiv,Somatikken_Ambulant,1,0
-2,Diabetes I_Uden Komplikationer,18-49 år,Kvinde,Ufaglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Diabetes I_Uden Komplikationer,18-49 år,Kvinde,Ufaglært,Aktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Videregående Uddannelse,Udenfor,Somatikken_Ambulant,1,0.0644729503625209
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Videregående Uddannelse,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Videregående Uddannelse,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Videregående Uddannelse,Inaktiv,Somatikken_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Videregående Uddannelse,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Videregående Uddannelse,Inaktiv,Somatikken_Skadestue,1,0
-2,Psykiske Lidelser_Mild,18-49 år,Kvinde,Faglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Psykiske Lidelser_Mild,18-49 år,Kvinde,Faglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Psykiske Lidelser_Mild,18-49 år,Kvinde,Faglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Cancer_Bryst,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,1,0.00241142645149323
-2,Cancer_Bryst,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Cancer_Bryst,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Aktiv,Somatikken_Ambulant,1,0.000280112044817927
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Aktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Somatikken_Ambulant,0,0.00585360614360131
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Somatikken_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Ufaglært,Udenfor,Somatikken_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_KOL,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.0002808199943836
-2,Andre Lidelser_KOL,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_KOL,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Udenfor,Somatikken_Ambulant,1,0.000922509225092251
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Ambulant,1,0.000488519785051295
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Somatikken_Ambulant,0,0.0232181425485961
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Somatikken_Skadestue,0,0
-2,Cancer_Tarm,65+ år,Mand,Videregående Uddannelse,Udenfor,Somatikken_Ambulant,0,0
-2,Cancer_Tarm,65+ år,Mand,Videregående Uddannelse,Udenfor,Somatikken_Indlæggelse,0,0
-2,Cancer_Tarm,65+ år,Mand,Videregående Uddannelse,Udenfor,Somatikken_Skadestue,0,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Faglært,Aktiv,Somatikken_Ambulant,1,0.00704225352112676
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Faglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Faglært,Aktiv,Somatikken_Skadestue,1,0
-2,Cancer_Tarm,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,1,0
-2,Cancer_Tarm,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Cancer_Tarm,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Cancer_Prostata,50-65 år,Mand,Faglært,Aktiv,Somatikken_Ambulant,1,0
-2,Cancer_Prostata,50-65 år,Mand,Faglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Cancer_Prostata,50-65 år,Mand,Faglært,Aktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,0,0.00637845499645641
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,0,0
-2,Cancer_Bryst,50-65 år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,0,0.00293255131964809
-2,Cancer_Bryst,50-65 år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,0,0
-2,Cancer_Bryst,50-65 år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Faglært,Aktiv,Somatikken_Ambulant,1,0.000572737686139748
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Faglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Faglært,Aktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Skadestue,0,0
-2,Cancer_Bryst,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.000469483568075117
-2,Cancer_Bryst,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Cancer_Bryst,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Diabetes II_Med Komplikationer,65+ år,Mand,Faglært,Udenfor,Somatikken_Ambulant,1,0.0768627450980392
-2,Diabetes II_Med Komplikationer,65+ år,Mand,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Diabetes II_Med Komplikationer,65+ år,Mand,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Aktiv,Somatikken_Ambulant,1,0.00113026278609777
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Aktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,0,0.015494763838427
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,0,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Faglært,Aktiv,Somatikken_Ambulant,1,0.00547845142439737
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Faglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Faglært,Aktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.000835282325425994
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Faglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Faglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Faglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Psykiske Lidelser_Moderat,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Psykiske Lidelser_Moderat,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Psykiske Lidelser_Moderat,18-49 år,Kvinde,Ufaglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Cancer_Tarm,65+ år,Mand,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.0218145761031235
-2,Cancer_Tarm,65+ år,Mand,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Cancer_Tarm,65+ år,Mand,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_KOL,50-65 år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,1,0
-2,Andre Lidelser_KOL,50-65 år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_KOL,50-65 år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_KOL,65+ år,Mand,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.00245098039215686
